Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2,Price_Clean,Lot_Size,Living_Space,Build_Year,Total_Rooms,Bedrooms,Number_of_Floors
Norbertijnerstraat 51,Elshout,€ 325.000,177 m²,104 m²,1964,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in bosrijke omgeving, in woonwijk en open ligging",Achtertuin en voortuin,1.775,325000.0,177,104,1964.0,5.0,4.0,3.0
Sportlaan 44,Ede,€ 625.000,655 m²,90 m²,1955,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,2 woonlagen,F,"Aan rustige weg, in bosrijke omgeving en vrij uitzicht","Achtertuin, voortuin en zijtuin",4.020,625000.0,655,90,1955.0,5.0,3.0,2.0
Fiskwei 8,Holwerd,€ 239.000,628 m²,92 m²,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,Vrij uitzicht,Achtertuin en voortuin,1.420,239000.0,628,92,1930.0,5.0,3.0,2.0
Handelstraat 9,Huissen,€ 785.000,1.050 m²,170 m²,1979,Bestaande bouw,"Eengezinswoning, vrijstaande woning (bedrijfs- of dienstwoning)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,E,Bedrijventerrein,"Achtertuin, voortuin en zijtuin",1.375,785000.0,1050,170,1979.0,5.0,4.0,2.0
Langeraarseweg 177,Ter Aar,€ 950.000,298 m²,163 m²,2010,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A,"Aan rustige weg, aan vaarwater en vrij uitzicht","Voortuin, zijtuin en zonneterras",890,950000.0,298,163,2010.0,4.0,3.0,2.0
Oberon 1,Den Bosch,€ 650.000,160 m²,256 m²,2003,Bestaande bouw,"Herenhuis, verspringend",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,2.285,650000.0,160,256,2003.0,5.0,4.0,3.0
Robert Stolzstraat 216,Hengelo (OV),€ 349.000,243 m²,130 m²,1977,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.450,349000.0,243,130,1977.0,5.0,4.0,3.0
Herenlaan 27,Helmond,€ 475.000,115 m²,168 m²,2002,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.735,475000.0,115,168,2002.0,6.0,4.0,4.0
Dr. Willem Vosstraat 26,Poortugaal,€ 385.000,241 m²,82 m²,1920,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,,"Achtertuin, voortuin en zijtuin",2.355,385000.0,241,82,1920.0,3.0,2.0,2.0
Waddenring 10,Barendrecht,€ 1.295.000,484 m²,242 m²,2002,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,A,"Aan vaarwater, aan water, in woonwijk, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",785,1295000.0,484,242,2002.0,4.0,3.0,2.0
